# Router Agent — Routing Results (98 Questions)

> Generated by `check_router_agent.py` — Smart RouterAgent Phase 1

---

## 1. Competitive Pricing Intelligence

**Workflow:** `competitive_pricing_intelligence_rheem_workflow`

| # | Question | Level | Task | Thinking | Conf | Model | Fallbacks |
|--:|----------|-------|------|----------|-----:|-------|-----------|
| 1 | is there anything advance insightful information I can get from above report to decide which location and I should update the Price for Rheem to dominant AO Smith ? | L1_SIMPLE | analysis | low | 0.52 | gemini-3-flash | claude-haiku-4-5, gemini-3-pro |
| 2 | Which market has the highest and lowest rebate % ? | L0_LOOKUP | retrieval | minimal | 0.79 | gemini-3-flash | claude-haiku-4-5 |
| 3 | Which SKUs truly belong together across systems? | L0_LOOKUP | retrieval | minimal | 0.64 | gemini-3-flash | claude-haiku-4-5 |
| 4 | Which channels are structurally margin-negative? | L1_SIMPLE | math | low | 0.72 | gemini-3-flash | claude-haiku-4-5, gemini-3-pro |
| 5 | What does our actual price architecture look like across all channels? | L0_LOOKUP | retrieval | minimal | 0.53 | gemini-3-flash | claude-haiku-4-5 |
| 6 | Which SKUs drive system-level margins? | L1_SIMPLE | retrieval | low | 0.72 | gemini-3-flash | claude-haiku-4-5, gemini-3-pro |
| 7 | Where is cannibalization eating gross profit? | L0_LOOKUP | math | minimal | 0.77 | gemini-3-flash | claude-haiku-4-5 |
| 8 | What's the true causal driver of low margin? Price? Channel? Warranty? | L2_ANALYTICAL | math | high | 0.83 | gemini-3-pro | claude-sonnet-4-6, gemini-3.1-pro |
| 9 | What would have happened last quarter if we raised prices earlier? | L1_SIMPLE | retrieval | low | 0.71 | gemini-3-flash | claude-haiku-4-5, gemini-3-pro |
| 10 | Which promotions had negative ROI? | L1_SIMPLE | math | low | 0.72 | gemini-3-flash | claude-haiku-4-5, gemini-3-pro |
| 11 | Where are we margin-leaking? | L0_LOOKUP | math | minimal | 0.83 | gemini-3-flash | claude-haiku-4-5 |
